model_name,config_path,status,xmax_m,ymax_m,dxy_m,ncols,nrows,total_steady_time_yr,dt_steady_yr,H0_m,uplift_rate_m_yr,Sc,Hstar_m,V0_m_yr,D_m2_yr,P0_m_yr,run_off,K_sed,K_br,F_f,phi,H_star_m,Vs_m_yr,m_sp,n_sp,sp_crit_sed,sp_crit_br,diagnostic_interval_yr,video_interval_yr,initial_noise_m,random_seed,notes
DT_original_shape_1000x200,config/steady_baseline_detachment.yaml,smoke_passed,1000,200,5,200,40,1000000,100,0,0.001,1,1,0.008,0.008,1.0e-8,1,0.000234,0.000234,1,0,1.0e-8,0,0.5,1.0,0.0,0.0,5000,10000,1.0,5000,Original Duvall-Tucker parameters with shorter 1000 x 200 m grid.
DT_original_shape_1000x200_diffusion,config/steady_baseline_detachment_diffusion.yaml,fails_smoke_nonfinite,1000,200,5,200,40,1000000,100,5,0.001,1,0.1,0.08,0.008,0.0001,1,0.000234,0.000234,1,0,1.0e-8,0,0.5,1.0,0.0,0.0,5000,10000,1.0,5000,Same grid and fluvial parameters; higher initial soil and soil production; same D via Hstar*V0. Failed 1000 yr smoke with non-finite values.
